condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
learned_b2_s17,learned,2,17,tinystories,attention,64,,,,,,,,,0.5430045540516193,0.18902444656078632,0.5072743126540077,0.07690837781410664,0.0012412200391622719,0.13464689254760742,12
random_b2_s29,random,2,29,wikitext,reconstruction,64,0.0009032973216562823,0.3983091725385748,0.11549828575584377,0.9407961317338049,0.0011821852531284094,0,7,64,,,,,,,
random_b2_s29,random,2,29,wikitext,attention,32,,,,,,,,,0.609020061565168,0.2728156160676118,0.5345917011948174,0.06099829537561163,0.0012273598480305736,0.1148291826248169,31
random_b2_s29,random,2,29,wikitext,attention,64,,,,,,,,,0.7510396893207844,0.3608783374612148,0.6208065148720139,0.08221008791588247,0.0014763118426230903,0.15470117330551147,31
random_b2_s29,random,2,29,tinystories,reconstruction,64,0.0009031323743329267,0.4277353149955161,0.11542838189663163,0.9408033138606697,0.001163389766588807,0,7,64,,,,,,,
random_b2_s29,random,2,29,tinystories,attention,32,,,,,,,,,0.5908673495957346,0.21399660047256586,0.5450728045819196,0.07509488868527114,0.0012195772618497358,0.13123169541358948,7
random_b2_s29,random,2,29,tinystories,attention,64,,,,,,,,,0.7157551545363207,0.3258245050907135,0.6095935464187123,0.09112927527166903,0.0012915167648657189,0.15085133910179138,7
learned_b2_s29,learned,2,29,wikitext,reconstruction,64,0.000784853080403991,0.3463155178469606,0.10042161064743625,0.9490668766666204,0.0009245156543329358,20,6,64,,,,,,,
learned_b2_s29,learned,2,29,wikitext,attention,32,,,,,,,,,0.4551865341085376,0.13296161580717925,0.43750774283048166,0.045125957403797656,0.0008227017889907984,0.08918410539627075,31
learned_b2_s29,learned,2,29,wikitext,attention,64,,,,,,,,,0.5507935303908128,0.18742164808970233,0.5156666562181526,0.061005464231129736,0.0009798152840971852,0.12433013319969177,31
learned_b2_s29,learned,2,29,tinystories,reconstruction,64,0.0008063306936492154,0.38177652438753285,0.10302597169615232,0.9475513908546418,0.0009386136080138385,13,5,64,,,,,,,
learned_b2_s29,learned,2,29,tinystories,attention,32,,,,,,,,,0.470537034851132,0.10488342608071187,0.45953650178470384,0.061402079300023615,0.0010181410432892335,0.11566182971000671,12
learned_b2_s29,learned,2,29,tinystories,attention,64,,,,,,,,,0.537375953564277,0.183704307446113,0.503628680990021,0.07277112384326756,0.001126699890164673,0.12995684146881104,12
