condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
random_b3_s29,random,3,29,tinystories,reconstruction,1024,0.00026459128632438933,0.15344677623579628,0.033818574362916375,0.9831450889469124,0.0004266364630893804,8,4,1024,,,,,,,
random_b3_s29,random,3,29,tinystories,attention,128,,,,,,,,,0.18810953996902288,0.1256044218822043,0.1723330691726601,0.02459579217247665,0.0003022376132264526,0.041863203048706055,0
random_b3_s29,random,3,29,tinystories,attention,256,,,,,,,,,0.2240408283263329,0.1429860510714787,0.20359581752531739,0.032435107277706265,0.0003487079495130274,0.054492972791194916,12
random_b3_s29,random,3,29,tinystories,attention,512,,,,,,,,,0.25511995718957853,0.1705261660598175,0.2260407838785181,0.037911344261374325,0.0003770344131908132,0.06142539530992508,12
random_b3_s29,random,3,29,tinystories,attention,1024,,,,,,,,,0.2885918091564644,0.20032184845063744,0.24846296618978422,0.04222066921647638,0.0004065742125192173,0.0689060240983963,12
learned_b3_s29,learned,3,29,wikitext,reconstruction,1024,0.00022738040649983304,0.12378577287745429,0.02922090378085912,0.9856042574974708,0.00024308857973665,13,3,1024,,,,,,,
learned_b3_s29,learned,3,29,wikitext,attention,128,,,,,,,,,0.14735765651214955,0.058371736502000525,0.14395039688989056,0.018235127645311877,0.0002289769107619577,0.032687053084373474,12
learned_b3_s29,learned,3,29,wikitext,attention,256,,,,,,,,,0.1642406003020617,0.06790174022027026,0.15962995397712063,0.022456369595602155,0.00026517504616663246,0.039379384368658066,12
learned_b3_s29,learned,3,29,wikitext,attention,512,,,,,,,,,0.18539114886092395,0.07835198392761149,0.17925211547553127,0.027953663549851626,0.00030569273858560564,0.04935102537274361,12
learned_b3_s29,learned,3,29,wikitext,attention,1024,,,,,,,,,0.2039106694663443,0.08568147388900199,0.1965693544985526,0.032619947858620435,0.00032833940954901664,0.05746489763259888,12
learned_b3_s29,learned,3,29,tinystories,reconstruction,1024,0.00022856464788389985,0.13306107797870936,0.02932571195577223,0.9855304331867956,0.00024545550695620477,13,0,1024,,,,,,,
