condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
random_b4_s29,random,4,29,tinystories,24,5,8.481914665026125e-05,0.04300287086516619,0.010804123607768275
random_b4_s29,random,4,29,tinystories,24,6,7.036874558252748e-05,0.037938863039016724,0.009008406875531918
random_b4_s29,random,4,29,tinystories,24,7,6.800814117013942e-05,0.041607110761106014,0.00869667883100689
random_b4_s29,random,4,29,tinystories,25,0,7.39105435059173e-05,0.03193193348124623,0.009450150473872891
random_b4_s29,random,4,29,tinystories,25,1,7.213354911073111e-05,0.03184189507737756,0.009215189228281325
random_b4_s29,random,4,29,tinystories,25,2,6.799900802434422e-05,0.04315907508134842,0.00867995173150316
random_b4_s29,random,4,29,tinystories,25,3,7.197295963123906e-05,0.030065633356571198,0.00925040290295522
random_b4_s29,random,4,29,tinystories,25,4,6.70012304908596e-05,0.050801075994968414,0.008574376885307718
random_b4_s29,random,4,29,tinystories,25,5,6.666256558673922e-05,0.05144431535154581,0.008536509766769142
random_b4_s29,random,4,29,tinystories,25,6,7.012985224719159e-05,0.045046242885291576,0.008976007441939141
random_b4_s29,random,4,29,tinystories,25,7,9.279920232074801e-05,0.058506814762949944,0.012014267833562627
random_b4_s29,random,4,29,tinystories,26,0,7.264374471560586e-05,0.04205064848065376,0.009271743853921143
random_b4_s29,random,4,29,tinystories,26,1,7.075121902744286e-05,0.03651951625943184,0.009037925538077394
random_b4_s29,random,4,29,tinystories,26,2,6.911383570695762e-05,0.039910328574478626,0.008814435731493
random_b4_s29,random,4,29,tinystories,26,3,6.98446347087156e-05,0.03763985726982355,0.008928085400471613
random_b4_s29,random,4,29,tinystories,26,4,6.758626113878563e-05,0.04684947896748781,0.008629766886812485
random_b4_s29,random,4,29,tinystories,26,5,7.172025834734086e-05,0.048694711178541183,0.009181249345229344
random_b4_s29,random,4,29,tinystories,26,6,7.222989734145813e-05,0.047518813982605934,0.009262784648769855
random_b4_s29,random,4,29,tinystories,26,7,6.97916439094115e-05,0.03671715687960386,0.008903661117165132
random_b4_s29,random,4,29,tinystories,27,0,9.583306200511288e-05,0.05814750771969557,0.012167113815890333
random_b4_s29,random,4,29,tinystories,27,1,7.192601151473355e-05,0.03592817112803459,0.00921449995014208
random_b4_s29,random,4,29,tinystories,27,2,7.468841249647085e-05,0.0495839137583971,0.00957130667211911
random_b4_s29,random,4,29,tinystories,27,3,6.829542326158844e-05,0.03585314191877842,0.008720408442547097
random_b4_s29,random,4,29,tinystories,27,4,6.870122524560429e-05,0.04909362643957138,0.008777619942851193
random_b4_s29,random,4,29,tinystories,27,5,7.006320265645627e-05,0.03174571227282286,0.008991116326181063
random_b4_s29,random,4,29,tinystories,27,6,6.914330333529506e-05,0.039808827452361584,0.008849112964866037
random_b4_s29,random,4,29,tinystories,27,7,6.868803211546037e-05,0.03411169908940792,0.008771683002967892
random_b4_s29,random,4,29,tinystories,28,0,6.886035407660529e-05,0.04507909342646599,0.008818247286841356
random_b4_s29,random,4,29,tinystories,28,1,6.876507904962637e-05,0.04240464325994253,0.00880423410213271
random_b4_s29,random,4,29,tinystories,28,2,6.875112921989057e-05,0.04188014566898346,0.008807085841480683
random_b4_s29,random,4,29,tinystories,28,3,7.002145684964489e-05,0.030387517996132374,0.0089305655310948
random_b4_s29,random,4,29,tinystories,28,4,7.038213152554817e-05,0.04636853560805321,0.008967563770474614
random_b4_s29,random,4,29,tinystories,28,5,6.701245729345828e-05,0.0469069117680192,0.008580462798369064
random_b4_s29,random,4,29,tinystories,28,6,7.103340794856194e-05,0.03596244007349014,0.009096004006194121
random_b4_s29,random,4,29,tinystories,28,7,7.250542512338143e-05,0.04245652072131634,0.009277180298591689
random_b4_s29,random,4,29,tinystories,29,0,7.081778130668681e-05,0.037795222364366055,0.00904578614908641
random_b4_s29,random,4,29,tinystories,29,1,6.964753265492618e-05,0.04781131539493799,0.008918432120638673
random_b4_s29,random,4,29,tinystories,29,2,7.021308738330845e-05,0.04625248350203037,0.008994254925752659
random_b4_s29,random,4,29,tinystories,29,3,7.093349449860398e-05,0.045177736319601536,0.009096038475335617
random_b4_s29,random,4,29,tinystories,29,4,7.14488032826921e-05,0.034312048461288214,0.009117777368815406
