scheduler,seed,configured_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
exponential,35,10000,120,0.000480920250993222,0.0004842081223614514,0.0004972626789878241,0.004823448482994196,4.084327883902006e-05,0.9891284182667732,0.07763472199440002,1.1809646636247635
exponential,35,10000,130,0.00047602609265595675,0.00047840398619882765,0.0004895370234840646,0.004809020344913647,4.039850682602264e-05,1.0716742724180222,0.07763472199440002,1.266605131328106
exponential,35,10000,140,0.0004703341401182115,0.00047598596720490607,0.0004840250986914794,0.0047946353649945695,4.07990810344927e-05,1.1538678333163261,0.07763472199440002,1.3518507480621338
exponential,35,10000,150,0.0004703239246737212,0.0004709481494501233,0.00047872255625393083,0.004780293414140131,3.971950718550943e-05,1.2368812337517738,0.07763472199440002,1.43799439817667
exponential,35,10000,160,0.0004653878277167678,0.0004671852948376909,0.0004740317218966889,0.004765994363639661,3.946619835915044e-05,1.3192106038331985,0.07763472199440002,1.5233464762568474
exponential,35,10000,170,0.000459040398709476,0.000463440825114958,0.00046975346291109536,0.004751738085167494,3.94156995753292e-05,1.4017622098326683,0.07763472199440002,1.608930379152298
exponential,35,10000,180,0.0004571745521388948,0.00046013511891942473,0.00046579795593328896,0.004737524450781823,3.93065856769681e-05,1.4842321425676346,0.07763472199440002,1.6944890469312668
exponential,35,10000,190,0.00045241933548823,0.00045783452806062995,0.00046245420272758965,0.004723353332923544,3.9101705624489114e-05,1.5663693100214005,0.07763472199440002,1.77962127327919
exponential,35,10000,200,0.0004577404470182955,0.0004549011617200449,0.00045945974228767095,0.0047092246044151105,3.836676478385925e-05,1.6486998498439789,0.11586111038923264,1.8649593740701675
exponential,35,10000,210,0.00044981384417042136,0.00045254579745233057,0.00045663766646062364,0.004695138138459401,3.836123869405128e-05,1.7310342565178871,0.11586111038923264,2.0338406562805176
exponential,35,10000,220,0.000448877748567611,0.0004508794314460829,0.0004542609718851241,0.0046810938086385735,3.912634929292835e-05,1.8132754862308502,0.11586111038923264,2.1191466450691223
exponential,35,10000,230,0.00044543168041855097,0.0004481996642425656,0.0004517821910960598,0.004667091488912934,3.8914182368898764e-05,1.8953987881541252,0.11586111038923264,2.204292804002762
exponential,35,10000,240,0.00044293724931776524,0.00044764904014300556,0.00045003896440030857,0.004653131053619805,3.8294547266559675e-05,1.9778931885957718,0.11586111038923264,2.289790838956833
exponential,35,10000,250,0.00043952249689027667,0.00044518752256408336,0.0004480487766316118,0.004639212377472395,3.86401115974877e-05,2.060418911278248,0.11586111038923264,2.3753722831606865
exponential,35,10000,260,0.00044831831473857164,0.00044401014456525446,0.0004464629364821331,0.004625335335558678,3.764592111110687e-05,2.142677091062069,0.11586111038923264,2.4606533274054527
exponential,35,10000,270,0.00044420361518859863,0.0004428048036061227,0.0004450392955842252,0.0046114998033402734,3.796017699642107e-05,2.225290521979332,0.11586111038923264,2.5463054701685905
exponential,35,10000,280,0.00044045576942153275,0.0004414408467710018,0.00044349768990978045,0.004597705656651324,3.864690370392054e-05,2.307361900806427,0.11586111038923264,2.631437622010708
exponential,35,10000,290,0.0004400211328174919,0.00044053333112969995,0.00044224706340055645,0.004583952771697383,3.8606158341281116e-05,2.389996513724327,0.11586111038923264,2.71710953861475
exponential,35,10000,300,0.00043596618343144655,0.0004403296246891841,0.00044147155088072236,0.004570241025054304,3.7969090044498444e-05,2.4721275940537453,0.1539582908153534,2.802297979593277
exponential,35,10000,310,0.00043581792851909995,0.0004363071464467794,0.0004394195932477455,0.004556570293667132,3.796126475208439e-05,2.5546312108635902,0.1539582908153534,2.9719301387667656
exponential,35,10000,320,0.0004353172262199223,0.00043658136564772576,0.0004382718793457404,0.004542940454849004,3.8053287426009774e-05,2.6366817355155945,0.1539582908153534,3.0570154264569283
exponential,35,10000,330,0.0004363250045571476,0.00043555389565881343,0.00043715640012796636,0.004529351386280039,3.709755765157752e-05,2.7195635363459587,0.1539582908153534,3.1429828479886055
exponential,35,10000,340,0.00043210116564296186,0.00043473914556670936,0.0004361325837946082,0.004515802966006251,3.751357508008368e-05,2.801904119551182,0.1539582908153534,3.228393316268921
exponential,35,10000,350,0.00043549417750909925,0.00043477126746438444,0.00043563394116843295,0.004502295072438444,3.782119165407494e-05,2.8844021037220955,0.1539582908153534,3.313888229429722
