condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
identity_b2_snone,identity,2,,wikitext,3,7,0.002441486867610365,1.5661457479000092,0.3117490583601372
identity_b2_snone,identity,2,,wikitext,4,0,0.001189260568935424,0.47870173305273056,0.1515668857795232
identity_b2_snone,identity,2,,wikitext,4,1,0.002038895443547517,1.305113971233368,0.26040774505481457
identity_b2_snone,identity,2,,wikitext,4,2,0.002225134987384081,1.1919648051261902,0.28297461314770017
identity_b2_snone,identity,2,,wikitext,4,3,0.0022758851409889758,1.7043113112449646,0.2909745637406458
identity_b2_snone,identity,2,,wikitext,4,4,0.0019153650209773332,1.1756734251976013,0.24527041397615046
identity_b2_snone,identity,2,,wikitext,4,5,0.0018061951268464327,0.7755128145217896,0.22966271390153947
identity_b2_snone,identity,2,,wikitext,4,6,0.0025585669791325927,1.4843098819255829,0.3276844582330732
identity_b2_snone,identity,2,,wikitext,4,7,0.0017334057774860412,0.9567575305700302,0.22060426184097517
identity_b2_snone,identity,2,,wikitext,5,0,0.0018794460920616984,1.1316733658313751,0.2395353405154339
identity_b2_snone,identity,2,,wikitext,5,1,0.001610901381354779,0.9092192947864532,0.20194251755304451
identity_b2_snone,identity,2,,wikitext,5,2,0.001372652710415423,0.6907695531845093,0.1766650203201839
identity_b2_snone,identity,2,,wikitext,5,3,0.002317604492418468,1.4286102652549744,0.29659891309736214
identity_b2_snone,identity,2,,wikitext,5,4,0.0014010703889653087,0.7264194488525391,0.1781905763262923
identity_b2_snone,identity,2,,wikitext,5,5,0.0015538287407252938,0.7012657225131989,0.19833777771649003
identity_b2_snone,identity,2,,wikitext,5,6,0.002301664964761585,1.4128142297267914,0.29422066672735675
identity_b2_snone,identity,2,,wikitext,5,7,0.0022539503406733274,1.416663408279419,0.2882011553816861
identity_b2_snone,identity,2,,wikitext,6,0,0.002010192780289799,1.0959926098585129,0.2562692588297522
identity_b2_snone,identity,2,,wikitext,6,1,0.002092647599056363,1.3918047845363617,0.266271069645115
identity_b2_snone,identity,2,,wikitext,6,2,0.0022020426113158464,1.623856246471405,0.2804555096741231
identity_b2_snone,identity,2,,wikitext,6,3,0.0021856053499504924,1.2907722890377045,0.27863052331505955
identity_b2_snone,identity,2,,wikitext,6,4,0.002146960992831737,1.419266402721405,0.27371585799348475
identity_b2_snone,identity,2,,wikitext,6,5,0.0019106407999061048,1.179978609085083,0.2441070606072391
identity_b2_snone,identity,2,,wikitext,6,6,0.001706088602077216,0.7405411154031754,0.21772680854608975
identity_b2_snone,identity,2,,wikitext,6,7,0.0014805129903834313,0.9833720326423645,0.18935994053878566
