condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
learned_b2_s29,learned,2,29,tinystories,attention,1024,,,,,,,,,0.6191138011653249,0.12354208239694921,0.6038511550423503,0.1268721646629274,0.0014324686357554128,0.19195091724395752,7
random_b2_s43,random,2,43,wikitext,reconstruction,1024,0.0009071491667214104,0.5040219848306151,0.11621090731290495,0.94052996794926,0.001113541831728071,1,1,1024,,,,,,,
random_b2_s43,random,2,43,wikitext,attention,128,,,,,,,,,0.9240665491237197,0.4731053589850433,0.700237868423353,0.09810105944052339,0.0015828090848799548,0.16068166494369507,1
random_b2_s43,random,2,43,wikitext,attention,256,,,,,,,,,1.067340071563127,0.5672174446313761,0.7456044420689787,0.1185975595144555,0.0017181160715153965,0.1791287511587143,1
random_b2_s43,random,2,43,wikitext,attention,512,,,,,,,,,1.2535478785256429,0.6614981069434689,0.8159681330358499,0.14421462872996926,0.0019329172324091815,0.2104332447052002,12
random_b2_s43,random,2,43,wikitext,attention,1024,,,,,,,,,1.3979495388124048,0.7278240002073892,0.8682217635345191,0.17092228960245848,0.0021440269164259007,0.24571046233177185,12
random_b2_s43,random,2,43,tinystories,reconstruction,1024,0.0009079305679051686,0.5525943344982807,0.11625568519126381,0.9404796733288094,0.0010908168042078614,1,1,1024,,,,,,,
random_b2_s43,random,2,43,tinystories,attention,128,,,,,,,,,0.9120050363762434,0.47241558400235434,0.6888285523679579,0.10999939136672765,0.0018538405358867749,0.15627723932266235,12
random_b2_s43,random,2,43,tinystories,attention,256,,,,,,,,,1.0704246699114255,0.5261546456860198,0.7935859587344445,0.14416449959389865,0.00214244054353685,0.2183992564678192,12
random_b2_s43,random,2,43,tinystories,attention,512,,,,,,,,,1.26218117422063,0.6231354909565946,0.8738833341309138,0.17000566609203815,0.0023175302111440033,0.25187236070632935,12
random_b2_s43,random,2,43,tinystories,attention,1024,,,,,,,,,1.4810270169886146,0.7302263518077571,0.9477964921141484,0.1935164127498865,0.002480935996459266,0.2825024127960205,12
learned_b2_s43,learned,2,43,wikitext,reconstruction,1024,0.0006337901020145864,0.3513754316045379,0.08101562817334199,0.959696841891855,0.0007693278312217444,13,2,1024,,,,,,,
learned_b2_s43,learned,2,43,wikitext,attention,128,,,,,,,,,0.48646509000497273,0.11891247424506401,0.4723249134738897,0.06892094615614042,0.0010900252956389522,0.12268964946269989,7
learned_b2_s43,learned,2,43,wikitext,attention,256,,,,,,,,,0.5117597259899985,0.13874533882632795,0.492509456943966,0.08087074430659413,0.0011589346883624785,0.14064888656139374,7
learned_b2_s43,learned,2,43,wikitext,attention,512,,,,,,,,,0.5614052673994216,0.15706337851855257,0.5367363625277596,0.09598351560998708,0.0012841812359170035,0.16194626688957214,7
learned_b2_s43,learned,2,43,wikitext,attention,1024,,,,,,,,,0.5850471794314501,0.15578377328267912,0.5607785954132609,0.10966057877521962,0.0013188857649311103,0.17103420197963715,7
learned_b2_s43,learned,2,43,tinystories,reconstruction,1024,0.0006276489226735293,0.38077008322579786,0.08010702275104017,0.9601330548175611,0.0007679591362830251,19,4,1024,,,,,,,
