bit_width,seed,condition,layer,head,wikitext_validation_normalized_key_mse,relative_change_vs_random
2,17,random_initialization,17,7,0.0008586388430558145,0.0
2,17,random_initialization,18,0,0.0008789008134044707,0.0
2,17,random_initialization,18,1,0.0008900435532268602,0.0
2,17,random_initialization,18,2,0.0009062255339813419,0.0
2,17,random_initialization,18,3,0.0009297069809690583,0.0
2,17,random_initialization,18,4,0.0008579880486649927,0.0
2,17,random_initialization,18,5,0.0009187139658024535,0.0
2,17,random_initialization,18,6,0.0009100559072976466,0.0
2,17,random_initialization,18,7,0.0009672885862528346,0.0
2,17,random_initialization,19,0,0.0008764406375121325,0.0
2,17,random_initialization,19,1,0.0009558928686601575,0.0
2,17,random_initialization,19,2,0.0009589507862983737,0.0
2,17,random_initialization,19,3,0.0008537483954569325,0.0
2,17,random_initialization,19,4,0.0009183587608276866,0.0
2,17,random_initialization,19,5,0.0008498607385263313,0.0
2,17,random_initialization,19,6,0.0008048510753724258,0.0
2,17,random_initialization,19,7,0.0009049371437868103,0.0
2,17,random_initialization,20,0,0.0009644190358812921,0.0
2,17,random_initialization,20,1,0.0008971006282081362,0.0
2,17,random_initialization,20,2,0.0009410298844159115,0.0
2,17,random_initialization,20,3,0.0009625928869354539,0.0
2,17,random_initialization,20,4,0.0008546210046915803,0.0
2,17,random_initialization,20,5,0.0009702055795060005,0.0
2,17,random_initialization,20,6,0.0008730049994483124,0.0
2,17,random_initialization,20,7,0.0008735534647712484,0.0
2,17,random_initialization,21,0,0.0009390811901539564,0.0
2,17,random_initialization,21,1,0.0010203532729065046,0.0
2,17,random_initialization,21,2,0.000907839996216353,0.0
2,17,random_initialization,21,3,0.0009120591457758565,0.0
2,17,random_initialization,21,4,0.0009488766627328005,0.0
2,17,random_initialization,21,5,0.00085587869034498,0.0
2,17,random_initialization,21,6,0.0008674618438817561,0.0
2,17,random_initialization,21,7,0.0010325147668481804,0.0
2,17,random_initialization,22,0,0.0008717976706975605,0.0
2,17,random_initialization,22,1,0.0008605300317867659,0.0
2,17,random_initialization,22,2,0.0009138300665654242,0.0
2,17,random_initialization,22,3,0.0009254631331714336,0.0
2,17,random_initialization,22,4,0.0009187613541143946,0.0
2,17,random_initialization,22,5,0.00093556024148711,0.0
2,17,random_initialization,22,6,0.0009048974316101521,0.0
2,17,random_initialization,22,7,0.0009120289905695245,0.0
2,17,random_initialization,23,0,0.0009104066157306079,0.0
2,17,random_initialization,23,1,0.0009201537177432328,0.0
2,17,random_initialization,23,2,0.000956916541326791,0.0
2,17,random_initialization,23,3,0.000911743820324773,0.0
2,17,random_initialization,23,4,0.000857762002851814,0.0
2,17,random_initialization,23,5,0.0008363426713913213,0.0
2,17,random_initialization,23,6,0.000986578732408816,0.0
2,17,random_initialization,23,7,0.0009864377752819564,0.0
2,17,random_initialization,24,0,0.0008648485854791943,0.0
2,17,random_initialization,24,1,0.0008665252425998915,0.0
2,17,random_initialization,24,2,0.0008295516672660597,0.0
2,17,random_initialization,24,3,0.0009973986307159066,0.0
2,17,random_initialization,24,4,0.0009072810244106222,0.0
2,17,random_initialization,24,5,0.000846559094497934,0.0
2,17,random_initialization,24,6,0.000892843512701802,0.0
2,17,random_initialization,24,7,0.0008784445635683369,0.0
2,17,random_initialization,25,0,0.0009053600879269652,0.0
2,17,random_initialization,25,1,0.0010202179619227536,0.0
2,17,random_initialization,25,2,0.00081649544154061,0.0
2,17,random_initialization,25,3,0.0008851720012899023,0.0
2,17,random_initialization,25,4,0.0008856391214067116,0.0
2,17,random_initialization,25,5,0.0008462164041702636,0.0
2,17,random_initialization,25,6,0.0008561840731999837,0.0
2,17,random_initialization,25,7,0.0008512171261827461,0.0
2,17,random_initialization,26,0,0.000934664250962669,0.0
2,17,random_initialization,26,1,0.0010175892130064312,0.0
2,17,random_initialization,26,2,0.0008234107663156465,0.0
2,17,random_initialization,26,3,0.0008589311146351974,0.0
2,17,random_initialization,26,4,0.0010009973011619877,0.0
2,17,random_initialization,26,5,0.0009083039221877698,0.0
2,17,random_initialization,26,6,0.0009562275736243464,0.0
2,17,random_initialization,26,7,0.0008561672402720433,0.0
2,17,random_initialization,27,0,0.0010135482662008144,0.0
2,17,random_initialization,27,1,0.0008838200192258228,0.0
2,17,random_initialization,27,2,0.0009218536542903166,0.0
2,17,random_initialization,27,3,0.000891687763214577,0.0
2,17,random_initialization,27,4,0.0008332769139087759,0.0
2,17,random_initialization,27,5,0.0008994270319817588,0.0
2,17,random_initialization,27,6,0.0008831410777929705,0.0
2,17,random_initialization,27,7,0.0010891994752455503,0.0
2,17,random_initialization,28,0,0.000909520749701187,0.0
2,17,random_initialization,28,1,0.0009972891748475377,0.0
